planning_time,planing_score,grasp_score
6.046002626419067,inf,0.09744782000780106
6.0135815143585205,inf,0.08809228241443634
5.929265260696411,inf,0.07354956120252609
5.0647876262664795,inf,0.06768128275871277
6.006956100463867,inf,0.05653596669435501
6.013363361358643,inf,0.051260434091091156
5.973406791687012,inf,0.05052858963608742
5.486683130264282,inf,0.042301684617996216
6.201762914657593,inf,0.03600188344717026
0.6862044334411621,22.98569679260254,0.03320598602294922
6.041693210601807,inf,0.030014557763934135
6.07867169380188,inf,0.027394192293286324
6.033559560775757,inf,0.027372485026717186
6.011863708496094,inf,0.026992641389369965
5.546240329742432,inf,0.026752358302474022
5.828675985336304,inf,0.026737796142697334
5.881051540374756,inf,0.025783872231841087
6.010624885559082,inf,0.022183049470186234
6.045166969299316,inf,0.02217143028974533
6.054584503173828,inf,0.0207830797880888
6.00576639175415,inf,0.02077987603843212
5.896977424621582,inf,0.020051531493663788
5.8730432987213135,inf,0.01997147500514984
5.608909606933594,inf,0.01996363140642643
5.868577003479004,inf,0.01833805814385414
6.041185140609741,inf,0.018104098737239838
6.201991319656372,inf,0.01771097630262375
5.732536554336548,inf,0.015919841825962067
5.349363088607788,inf,0.014777738600969315
0.2397313117980957,inf,0.014226716011762619
5.586558818817139,inf,0.013753927312791348
6.03092098236084,inf,0.013480732217431068
0.13967347145080566,inf,0.012094756588339806
5.624549865722656,inf,0.011989091522991657
0.6274857521057129,8.460672378540039,0.01190534420311451
5.487167596817017,inf,0.011860046535730362
0.675215482711792,7.339844703674316,0.011303183622658253
5.580493927001953,inf,0.01107359305024147
6.045730352401733,inf,0.010143817402422428
0.4491887092590332,inf,0.009863047860562801
5.792625188827515,inf,0.008465632796287537
5.965907335281372,inf,0.007752545177936554
0.6885740756988525,23.64413833618164,0.007417052052915096
6.022198677062988,inf,0.006617063190788031
8.074899911880493,inf,0.006487501785159111
5.9622228145599365,inf,0.006416849326342344
6.1006646156311035,inf,0.005995386280119419
6.066977024078369,inf,0.005366306286305189
0.31585192680358887,inf,0.005123813170939684
0.6468658447265625,8.018982887268066,0.0037525638472288847
6.009948253631592,inf,0.09744782000780106
6.020021915435791,inf,0.08809228241443634
0.2452847957611084,inf,0.07354956120252609
5.490190505981445,inf,0.06768128275871277
6.068566083908081,inf,0.05653596669435501
6.014459133148193,inf,0.051260434091091156
0.33426332473754883,inf,0.05052858963608742
0.7728781700134277,11.554558753967285,0.042301684617996216
0.8042623996734619,19.827051162719727,0.03600188344717026
0.2847270965576172,inf,0.03320598602294922
6.011029481887817,inf,0.030014557763934135
6.01032280921936,inf,0.027394192293286324
6.023951292037964,inf,0.027372485026717186
6.013032674789429,inf,0.026992641389369965
5.91940450668335,inf,0.026752358302474022
0.7518289089202881,16.98678970336914,0.026737796142697334
2.820086717605591,inf,0.025783872231841087
6.019723415374756,inf,0.022183049470186234
6.0182576179504395,inf,0.02217143028974533
6.012397050857544,inf,0.0207830797880888
5.052363157272339,inf,0.02077987603843212
6.1456804275512695,inf,0.020051531493663788
0.7417089939117432,11.778772354125977,0.01997147500514984
0.7306118011474609,21.45277976989746,0.01996363140642643
5.936822175979614,inf,0.01833805814385414
6.018786907196045,inf,0.018104098737239838
5.606014251708984,inf,0.01771097630262375
1.4088304042816162,inf,0.015919841825962067
0.8814244270324707,11.98137092590332,0.014777738600969315
1.7818803787231445,12.911406517028809,0.014226716011762619
6.311753273010254,inf,0.013753927312791348
6.027714252471924,inf,0.013480732217431068
0.24554061889648438,inf,0.012094756588339806
0.7229132652282715,11.813373565673828,0.011989091522991657
0.8386056423187256,12.517127990722656,0.01190534420311451
5.92018985748291,inf,0.011860046535730362
0.6469831466674805,inf,0.011303183622658253
5.663879871368408,inf,0.01107359305024147
5.974812746047974,inf,0.010143817402422428
5.044812202453613,inf,0.009863047860562801
6.033752202987671,inf,0.008465632796287537
1.134098768234253,inf,0.007752545177936554
0.9263052940368652,25.0598087310791,0.007417052052915096
6.0770556926727295,inf,0.006617063190788031
6.123900651931763,inf,0.006487501785159111
6.015796184539795,inf,0.006416849326342344
5.947611570358276,inf,0.005995386280119419
6.031203985214233,inf,0.005366306286305189
1.060436487197876,inf,0.005123813170939684
0.6062812805175781,20.727588653564453,0.0037525638472288847
