geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.4264952565330313, y=0.40226648179389446, z=0.03149999960989275), orientation=geometry_msgs.msg.Quaternion(x=-0.21850055724160486, y=0.616920449170107, z=-0.25242539530359726, w=-0.7127047675487265))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.20871726965234533, y=0.434896663932522, z=0.047500002548029996), orientation=geometry_msgs.msg.Quaternion(x=0.5823187311838222, y=-0.30968515986852935, z=0.6636519162107795, w=0.35293927406768927))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.42580676328123074, y=0.4017088207373759, z=0.03950000092119493), orientation=geometry_msgs.msg.Quaternion(x=-0.21850055724160486, y=0.616920449170107, z=-0.25242539530359726, w=-0.7127047675487265))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.1802108718975311, y=0.4140671626667826, z=0.0645000022662495), orientation=geometry_msgs.msg.Quaternion(x=0.642133084999924, y=-0.2569016042911659, z=0.670588756529476, w=0.2682860161792944))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.14434857643894794, y=0.3533435049989488, z=0.09050000322485961), orientation=geometry_msgs.msg.Quaternion(x=0.1228448446254028, y=0.7415585932007591, z=-0.10778971913181516, w=0.6506776263623609))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.1458420900230849, y=0.35185669693734906, z=0.08050000158573188), orientation=geometry_msgs.msg.Quaternion(x=0.1228448446254028, y=0.7415585932007591, z=-0.10778971913181516, w=0.6506776263623609))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.20809216594026342, y=0.43582372477503606, z=0.05550000385933218), orientation=geometry_msgs.msg.Quaternion(x=0.5823187311838222, y=-0.30968515986852935, z=0.6636519162107795, w=0.35293927406768927))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.4026798003770314, y=0.4286490406359858, z=0.06449999876077513), orientation=geometry_msgs.msg.Quaternion(x=-0.29785681130439723, y=0.6188279131323768, z=-0.31524191007041363, w=-0.6549472284260477))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.42626574884832363, y=0.40208057490684, z=0.049500002560322665), orientation=geometry_msgs.msg.Quaternion(x=-0.21850055724160486, y=0.616920449170107, z=-0.25242539530359726, w=-0.7127047675487265))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.1600120563479568, y=0.38460532963324967, z=0.09150000080654455), orientation=geometry_msgs.msg.Quaternion(x=0.19429931138567036, y=0.6956395934461829, z=-0.1860544416390785, w=0.6661209187313175))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.276022576766406, y=0.13959325144825271, z=0.074499998741065), orientation=geometry_msgs.msg.Quaternion(x=-0.42886514663548025, y=0.4977362277805259, z=0.49209398731109466, w=0.5711189378828271))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.14380488418714377, y=0.30969784445696535, z=0.08449999847853834), orientation=geometry_msgs.msg.Quaternion(x=0.6516185945545127, y=-0.01982926061140148, z=0.7579366937563935, w=0.023064603010538053))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.14614061988644245, y=0.35273300442483685, z=0.10050000113869705), orientation=geometry_msgs.msg.Quaternion(x=0.1228448446254028, y=0.7415585932007591, z=-0.10778971913181516, w=0.6506776263623609))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.13756269442915234, y=0.33260469246117985, z=0.0995000035346802), orientation=geometry_msgs.msg.Quaternion(x=0.700234981171117, y=-0.06834450383392908, z=0.7072726954159102, w=0.0690314005297052))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.1382467471349171, y=0.33207573104112065, z=0.09349999882591327), orientation=geometry_msgs.msg.Quaternion(x=0.700234981171117, y=-0.06834450383392908, z=0.7072726954159102, w=0.0690314005297052))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.14128702480488092, y=0.2754228864068291, z=0.0915000026221177), orientation=geometry_msgs.msg.Quaternion(x=-0.05317560798556871, y=0.6822797703778444, z=0.056657140053172565, w=0.7269502308476945))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.20809216594026342, y=0.43582372477503606, z=0.06150000111751852), orientation=geometry_msgs.msg.Quaternion(x=0.5823187311838222, y=-0.30968515986852935, z=0.6636519162107795, w=0.35293927406768927))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.20809216594026342, y=0.43582372477503606, z=0.06749999837570486), orientation=geometry_msgs.msg.Quaternion(x=0.5823187311838222, y=-0.30968515986852935, z=0.6636519162107795, w=0.35293927406768927))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.4126776079481027, y=0.18337272100214802, z=0.07149999871910634), orientation=geometry_msgs.msg.Quaternion(x=-0.5977859009637061, y=0.2536112832262681, z=0.7000839885090754, w=0.2970113510668587))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.19816693777806815, y=0.4267401165680366, z=0.1094999989350339), orientation=geometry_msgs.msg.Quaternion(x=0.3203845969267161, y=0.6675979657018098, z=-0.29077584447951954, w=0.6059010434964879))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.20830042456910863, y=0.4359641533181269, z=0.03950000123672781), orientation=geometry_msgs.msg.Quaternion(x=0.5823187311838222, y=-0.30968515986852935, z=0.6636519162107795, w=0.35293927406768927))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.2070438870875882, y=0.173115779246025, z=0.10950000365772404), orientation=geometry_msgs.msg.Quaternion(x=0.6482934511944481, y=0.32870797821454206, z=0.6125410813433918, w=-0.31058024705890164))
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.2548264718859371, y=0.14415240230693496, z=0.09549999884535616), orientation=geometry_msgs.msg.Quaternion(x=0.5662727207473002, y=0.4254431484099223, z=0.5643882803738948, w=-0.4240273601845771))
