planning_time,planing_score,grasp_score
5.0782036781311035,inf,0.05792032182216644
6.187925815582275,inf,0.01940716989338398
5.067940711975098,inf,0.018855854868888855
6.12658429145813,inf,0.018072359263896942
5.161208629608154,inf,0.016708865761756897
5.094050884246826,inf,0.016624392941594124
5.144301176071167,inf,0.014402653090655804
5.148321866989136,inf,0.01400084886699915
0.5124719142913818,inf,0.013243156485259533
0.4413447380065918,8.125045776367188,0.012911362573504448
5.206245183944702,inf,0.01271241158246994
6.3224194049835205,inf,0.05792032182216644
5.436651945114136,inf,0.01940716989338398
5.325544118881226,inf,0.018855854868888855
6.646285772323608,inf,0.018072359263896942
5.262964248657227,inf,0.016708865761756897
0.2843773365020752,inf,0.016624392941594124
5.287562847137451,inf,0.014402653090655804
5.187578916549683,inf,0.01400084886699915
5.319637298583984,inf,0.013243156485259533
5.534606695175171,inf,0.012911362573504448
5.578645944595337,inf,0.01271241158246994
