Message Plan (pickup) is not valid | Err Code 99999 | Err Source pickup | Err Msg 
Message Plan (pickup) is not valid | Err Code 99999 | Err Source pickup | Err Msg 
Message Plan (pickup) is not valid | Err Code 99999 | Err Source pickup | Err Msg 
Message Plan (move goal IK) is not valid | Err Code -12 | Err Source move goal IK | Err Msg 
Message Plan (move) is not valid | Err Code 99999 | Err Source move | Err Msg 
Message Plan (move) is not valid | Err Code 99999 | Err Source move | Err Msg 
Message Plan (move) is not valid | Err Code 99999 | Err Source move | Err Msg 
Message Plan (move) is not valid | Err Code 99999 | Err Source move | Err Msg 
Message Plan (move) is not valid | Err Code 99999 | Err Source move | Err Msg 
Message Plan is valid | Err Code 0 | Err Source  | Err Msg 
Message Plan (move) is not valid | Err Code 99999 | Err Source move | Err Msg 
Message Plan (move goal IK) is not valid | Err Code -12 | Err Source move goal IK | Err Msg 
Message Plan (move) is not valid | Err Code 99999 | Err Source move | Err Msg 
Message Plan (move) is not valid | Err Code 99999 | Err Source move | Err Msg 
Message Plan (move goal IK) is not valid | Err Code -12 | Err Source move goal IK | Err Msg 
Message Plan (move) is not valid | Err Code 99999 | Err Source move | Err Msg 
Message Plan (pickup) is not valid | Err Code 99999 | Err Source pickup | Err Msg 
Message Plan (move) is not valid | Err Code 99999 | Err Source move | Err Msg 
Message Plan (move) is not valid | Err Code 99999 | Err Source move | Err Msg 
Message Plan (move) is not valid | Err Code 99999 | Err Source move | Err Msg 
Message Plan (move) is not valid | Err Code 99999 | Err Source move | Err Msg 
Message Plan (move) is not valid | Err Code 99999 | Err Source move | Err Msg 
