time 0.3156259059906006 | score 0.0
time 30.09720277786255 | score 0.0
time 0.11816596984863281 | score 0.0
time 0.13641810417175293 | score 21.754413604736328
time 0.23871088027954102 | score 20.20772361755371
time 30.309038162231445 | score 0.0
time 0.08657598495483398 | score 8.775079727172852
time 1.9695842266082764 | score 0.0
time 1.1032347679138184 | score 0.0
time 0.14100384712219238 | score 12.21084213256836
----
total time: 64.51556062698364 | success rate: 4/10
